payment_id,order_id,total_price,payment_type
435,435,10.6,Cash
436,436,7.7,Meal Swipe
437,437,2.0,Credit
438,438,16.5,Gift Card
439,439,16.7,Cash
440,440,10.5,Cash
441,441,15.3,Gift Card
442,442,18.0,Credit
443,443,2.0,Meal Swipe
444,444,2.1,Gift Card
445,445,19.6,Meal Swipe
446,446,17.6,Cash
447,447,17.2,Cash
448,448,32.5,Credit
449,449,2.0,Credit
450,450,22.2,Credit
451,451,41.4,Meal Swipe
452,452,28.4,Gift Card
453,453,16.7,Gift Card
454,454,17.2,Credit
455,455,21.5,Cash
456,456,5.4,Credit
457,457,2.3,Debit
458,458,33.6,Cash
459,459,25.5,Debit
460,460,8.2,Meal Swipe
461,461,19.4,Debit
462,462,10.2,Meal Swipe
463,463,7.2,Debit
464,464,8.5,Meal Swipe
465,465,17.2,Credit
466,466,18.0,Gift Card
467,467,21.5,Gift Card
468,468,8.5,Cash
469,469,6.5,Debit
470,470,16.6,Debit
471,471,2.0,Cash
472,472,11.3,Meal Swipe
473,473,24.9,Gift Card
474,474,10.1,Meal Swipe
475,475,17.4,Cash
476,476,8.0,Meal Swipe
477,477,2.1,Debit
478,478,8.2,Cash
479,479,30.0,Debit
480,480,11.2,Cash
481,481,32.7,Meal Swipe
482,482,2.5,Meal Swipe
483,483,20.9,Debit
484,484,2.0,Credit
485,485,8.0,Cash
486,486,24.5,Credit
487,487,24.4,Meal Swipe
488,488,24.4,Debit
489,489,16.6,Meal Swipe
490,490,8.8,Credit
491,491,11.2,Meal Swipe
492,492,25.2,Credit
493,493,29.5,Debit
494,494,37.2,Meal Swipe
495,495,9.6,Debit
496,496,5.2,Credit
497,497,21.2,Credit
498,498,17.2,Debit
499,499,8.3,Meal Swipe
500,500,26.5,Meal Swipe
501,501,21.0,Gift Card
502,502,11.2,Credit
503,503,16.7,Cash
504,504,30.9,Meal Swipe
505,505,13.0,Meal Swipe
506,506,12.1,Gift Card
507,507,27.9,Debit
508,508,10.5,Debit
509,509,9.8,Debit
510,510,47.4,Gift Card
511,511,14.2,Gift Card
512,512,34.6,Credit
513,513,8.5,Credit
514,514,6.2,Cash
515,515,10.5,Debit
516,516,8.3,Debit
517,517,8.0,Cash
518,518,8.4,Meal Swipe
519,519,6.2,Credit
520,520,21.0,Cash
521,521,21.5,Credit
522,522,10.4,Meal Swipe
523,523,16.4,Cash
524,524,19.0,Cash
525,525,31.4,Cash
526,526,7.5,Credit
527,527,18.8,Meal Swipe
528,528,10.2,Credit
529,529,24.6,Gift Card
530,530,23.5,Cash
531,531,19.7,Cash
532,532,18.4,Credit
533,533,14.4,Credit
534,534,21.7,Cash
535,535,24.5,Meal Swipe
536,536,18.1,Cash
537,537,15.0,Gift Card
538,538,2.0,Debit
539,539,47.4,Cash
540,540,27.7,Debit
541,541,18.9,Debit
542,542,2.3,Debit
543,543,10.0,Credit
544,544,8.2,Cash
545,545,2.3,Credit
546,546,2.3,Gift Card
547,547,9.8,Meal Swipe
548,548,13.0,Cash
549,549,6.2,Debit
550,550,30.5,Gift Card
551,551,25.4,Meal Swipe
552,552,10.3,Gift Card
553,553,38.4,Credit
554,554,17.2,Debit
555,555,19.5,Cash
556,556,20.9,Credit
557,557,9.4,Gift Card
558,558,5.2,Cash
559,559,8.5,Cash
560,560,18.1,Debit
561,561,23.5,Credit
562,562,16.5,Gift Card
563,563,27.9,Cash
564,564,19.6,Credit
565,565,11.3,Cash
566,566,19.5,Credit
567,567,21.4,Debit
568,568,12.9,Credit
569,569,34.0,Credit
570,570,7.2,Meal Swipe
571,571,18.7,Gift Card
572,572,2.5,Meal Swipe
573,573,18.5,Gift Card
574,574,21.0,Gift Card
575,575,4.4,Debit
576,576,16.4,Cash
577,577,22.7,Cash
578,578,4.8,Gift Card
579,579,24.5,Meal Swipe
580,580,28.2,Debit
581,581,13.2,Meal Swipe
582,582,13.3,Debit
583,583,16.5,Debit
584,584,6.2,Gift Card
585,585,21.5,Credit
586,586,21.3,Debit
587,587,11.2,Cash
588,588,28.4,Gift Card
589,589,14.2,Cash
590,590,2.0,Credit
591,591,2.0,Debit
592,592,24.4,Cash
593,593,10.6,Credit
594,594,5.2,Meal Swipe
595,595,24.5,Debit
596,596,19.3,Credit
597,597,4.4,Cash
598,598,18.3,Cash
599,599,23.7,Gift Card
600,600,22.6,Credit
601,601,24.6,Gift Card
602,602,5.2,Gift Card
603,603,18.2,Debit
604,604,2.0,Debit
605,605,19.2,Debit
606,606,2.5,Meal Swipe
607,607,30.2,Debit
608,608,7.4,Meal Swipe
609,609,10.8,Cash
610,610,10.0,Gift Card
611,611,4.8,Cash
612,612,30.8,Meal Swipe
613,613,15.3,Meal Swipe
614,614,12.6,Gift Card
615,615,12.8,Debit
616,616,24.0,Credit
617,617,17.2,Meal Swipe
618,618,17.2,Cash
619,619,2.3,Cash
620,620,2.0,Cash
621,621,8.3,Debit
622,622,28.0,Gift Card
623,623,7.3,Meal Swipe
624,624,10.1,Meal Swipe
625,625,26.5,Credit
626,626,6.6,Meal Swipe
627,627,6.2,Gift Card
628,628,10.8,Credit
629,629,19.2,Gift Card
630,630,4.5,Gift Card
631,631,36.5,Credit
632,632,8.9,Credit
633,633,15.4,Meal Swipe
634,634,8.5,Meal Swipe
635,635,10.0,Gift Card
636,636,15.5,Cash
637,637,2.0,Credit
638,638,32.3,Debit
639,639,8.2,Credit
640,640,19.2,Gift Card
641,641,39.8,Debit
642,642,6.2,Meal Swipe
643,643,22.4,Meal Swipe
644,644,6.2,Credit
645,645,16.0,Credit
646,646,11.2,Debit
647,647,26.4,Credit
648,648,15.8,Gift Card
649,649,14.2,Debit
650,650,14.8,Gift Card
651,651,8.3,Meal Swipe
652,652,18.8,Debit
653,653,15.8,Cash
654,654,11.2,Debit
655,655,26.0,Gift Card
656,656,21.6,Credit
657,657,36.6,Gift Card
658,658,23.6,Cash
659,659,6.3,Credit
660,660,13.2,Credit
661,661,32.2,Credit
662,662,21.7,Meal Swipe
663,663,16.8,Cash
664,664,8.2,Debit
665,665,9.5,Meal Swipe
666,666,29.6,Debit
667,667,2.1,Credit
668,668,21.8,Debit
669,669,19.7,Cash
670,670,7.3,Gift Card
671,671,2.1,Gift Card
672,672,20.4,Debit
673,673,10.6,Meal Swipe
674,674,12.7,Debit
675,675,13.7,Gift Card
676,676,16.6,Cash
677,677,8.2,Meal Swipe
678,678,15.7,Debit
679,679,15.1,Credit
680,680,5.2,Credit
681,681,8.5,Gift Card
682,682,8.5,Credit
683,683,8.3,Meal Swipe
684,684,8.3,Gift Card
685,685,2.0,Meal Swipe
686,686,20.2,Gift Card
687,687,14.3,Meal Swipe
688,688,25.4,Cash
689,689,2.0,Cash
690,690,9.8,Meal Swipe
691,691,11.2,Debit
692,692,17.8,Cash
693,693,22.8,Cash
694,694,22.4,Meal Swipe
695,695,12.1,Debit
696,696,21.0,Credit
697,697,17.0,Debit
698,698,21.2,Cash
699,699,8.3,Credit
700,700,2.3,Credit
701,701,5.2,Credit
702,702,13.0,Debit
703,703,13.0,Debit
704,704,17.2,Meal Swipe
705,705,23.0,Gift Card
706,706,5.0,Debit
707,707,8.0,Cash
708,708,9.8,Gift Card
709,709,13.4,Gift Card
710,710,2.0,Meal Swipe
711,711,6.2,Credit
712,712,17.4,Credit
713,713,13.3,Credit
714,714,8.3,Cash
715,715,4.4,Credit
716,716,14.4,Credit
717,717,6.2,Debit
718,718,22.6,Credit
719,719,12.6,Cash
720,720,13.5,Meal Swipe
721,721,23.5,Credit
722,722,21.9,Meal Swipe
723,723,17.2,Debit
724,724,8.0,Credit
725,725,20.3,Gift Card
726,726,18.5,Meal Swipe
727,727,11.2,Cash
728,728,8.2,Meal Swipe
729,729,16.2,Cash
730,730,6.2,Credit
731,731,2.1,Credit
732,732,17.2,Gift Card
733,733,10.6,Meal Swipe
734,734,2.0,Debit
735,735,7.7,Credit
736,736,2.5,Debit
737,737,13.3,Meal Swipe
738,738,2.0,Gift Card
739,739,10.6,Cash
740,740,15.8,Credit
741,741,8.5,Gift Card
742,742,8.2,Credit
743,743,16.4,Cash
744,744,10.6,Gift Card
745,745,19.2,Cash
746,746,6.2,Meal Swipe
747,747,2.0,Credit
748,748,10.2,Cash
749,749,2.3,Cash
750,750,11.2,Debit
751,751,34.2,Debit
752,752,16.5,Debit
753,753,26.3,Cash
754,754,22.4,Cash
755,755,18.4,Gift Card
756,756,8.0,Meal Swipe
757,757,2.1,Credit
758,758,29.6,Meal Swipe
759,759,27.6,Cash
760,760,17.2,Meal Swipe
761,761,19.1,Meal Swipe
762,762,26.2,Credit
763,763,12.1,Meal Swipe
764,764,7.9,Cash
765,765,14.2,Gift Card
766,766,5.2,Meal Swipe
767,767,22.5,Gift Card
768,768,10.4,Credit
769,769,19.5,Credit
770,770,5.2,Gift Card
771,771,21.7,Gift Card
772,772,2.0,Debit
773,773,8.2,Meal Swipe
774,774,19.4,Meal Swipe
775,775,5.2,Debit
776,776,15.2,Cash
777,777,18.0,Credit
778,778,13.0,Debit
779,779,21.3,Gift Card
780,780,22.8,Cash
781,781,22.5,Cash
782,782,19.4,Credit
783,783,4.0,Meal Swipe
784,784,8.8,Gift Card
785,785,6.2,Credit
786,786,2.5,Cash
787,787,4.0,Debit
788,788,14.4,Gift Card
789,789,11.2,Gift Card
790,790,22.5,Meal Swipe
791,791,24.5,Meal Swipe
792,792,13.4,Credit
793,793,4.4,Cash
794,794,16.8,Debit
795,795,2.0,Cash
796,796,6.2,Cash
797,797,11.4,Meal Swipe
798,798,17.4,Credit
799,799,22.5,Cash
800,800,18.9,Debit
801,801,16.9,Meal Swipe
802,802,10.2,Gift Card
803,803,4.1,Cash
804,804,8.5,Meal Swipe
805,805,14.5,Gift Card
806,806,17.2,Cash
807,807,25.9,Meal Swipe
808,808,30.2,Gift Card
809,809,11.3,Meal Swipe
810,810,2.0,Meal Swipe
811,811,2.0,Meal Swipe
812,812,21.0,Meal Swipe
813,813,13.4,Meal Swipe
814,814,2.1,Debit
815,815,30.4,Meal Swipe
816,816,15.2,Meal Swipe
817,817,19.2,Credit
818,818,6.2,Meal Swipe
819,819,15.3,Debit
820,820,15.4,Cash
821,821,5.2,Cash
822,822,21.8,Credit
823,823,8.2,Gift Card
824,824,8.3,Cash
825,825,21.3,Debit
826,826,4.1,Debit
827,827,8.5,Debit
828,828,4.4,Meal Swipe
829,829,13.3,Credit
830,830,17.2,Debit
831,831,4.0,Cash
832,832,2.3,Cash
833,833,15.6,Gift Card
834,834,7.3,Meal Swipe
835,835,36.4,Debit
836,836,16.0,Cash
837,837,11.9,Gift Card
838,838,16.2,Credit
839,839,12.8,Meal Swipe
840,840,10.6,Gift Card
841,841,8.5,Credit
842,842,10.7,Credit
843,843,7.4,Meal Swipe
844,844,13.5,Meal Swipe
845,845,17.2,Cash
846,846,19.7,Credit
847,847,16.5,Gift Card
848,848,2.5,Credit
849,849,8.3,Cash
850,850,13.6,Gift Card
851,851,2.1,Gift Card
852,852,10.3,Cash
853,853,27.8,Credit
854,854,22.6,Debit
855,855,4.5,Credit
856,856,21.3,Credit
857,857,29.3,Debit
858,858,21.0,Credit
859,859,17.2,Gift Card
860,860,4.4,Meal Swipe
861,861,13.2,Meal Swipe
862,862,4.4,Credit
863,863,29.5,Cash
864,864,4.4,Gift Card
865,865,21.0,Gift Card
866,866,4.4,Credit
867,867,32.8,Debit
868,868,26.7,Credit
869,869,11.2,Debit
870,870,12.7,Debit
871,871,30.4,Cash
872,872,8.2,Debit
873,873,13.6,Credit
874,874,19.1,Meal Swipe
875,875,36.9,Debit
876,876,10.0,Meal Swipe
877,877,22.8,Gift Card
878,878,22.5,Meal Swipe
879,879,20.4,Gift Card
880,880,14.8,Debit
881,881,21.4,Gift Card
882,882,11.2,Gift Card
883,883,11.2,Meal Swipe
884,884,8.0,Debit
885,885,2.0,Credit
886,886,8.2,Meal Swipe
887,887,2.0,Meal Swipe
888,888,19.7,Cash
889,889,4.0,Cash
890,890,21.8,Debit
891,891,23.4,Cash
892,892,23.9,Meal Swipe
893,893,9.8,Debit
894,894,18.2,Credit
895,895,5.4,Debit
896,896,13.0,Debit
897,897,18.5,Cash
898,898,6.2,Meal Swipe
899,899,4.4,Meal Swipe
900,900,18.0,Credit
901,901,8.0,Credit
902,902,12.8,Meal Swipe
903,903,19.4,Credit
904,904,10.4,Credit
905,905,16.3,Credit
906,906,19.3,Debit
907,907,23.4,Gift Card
908,908,10.0,Meal Swipe
909,909,14.2,Cash
910,910,17.7,Meal Swipe
911,911,15.5,Debit
912,912,16.4,Debit
913,913,21.0,Credit
914,914,9.5,Meal Swipe
915,915,22.8,Gift Card
916,916,25.0,Cash
917,917,8.2,Credit
918,918,2.1,Debit
919,919,15.1,Meal Swipe
920,920,7.7,Meal Swipe
921,921,4.4,Debit
922,922,8.2,Cash
923,923,13.0,Meal Swipe
924,924,24.6,Cash
925,925,18.6,Gift Card
926,926,27.7,Debit
927,927,17.2,Meal Swipe
928,928,18.3,Gift Card
929,929,19.5,Gift Card
930,930,8.2,Credit
931,931,17.0,Meal Swipe
932,932,20.5,Credit
933,933,13.0,Debit
934,934,33.4,Meal Swipe
935,935,27.2,Meal Swipe
936,936,10.5,Debit
937,937,18.6,Gift Card
938,938,12.6,Meal Swipe
939,939,5.4,Debit
940,940,16.4,Gift Card
941,941,25.0,Debit
942,942,2.1,Gift Card
943,943,2.5,Credit
944,944,30.9,Debit
945,945,5.4,Meal Swipe
946,946,4.3,Gift Card
947,947,4.4,Gift Card
948,948,17.2,Credit
949,949,11.2,Debit
950,950,21.1,Credit
951,951,18.1,Cash
952,952,19.9,Credit
953,953,21.0,Gift Card
954,954,28.3,Cash
955,955,13.2,Cash
956,956,8.5,Credit
957,957,4.4,Credit
958,958,13.8,Gift Card
959,959,26.4,Credit
960,960,11.2,Meal Swipe
961,961,32.3,Cash
962,962,11.2,Credit
963,963,27.4,Cash
964,964,2.5,Cash
965,965,18.6,Gift Card
966,966,13.2,Cash
967,967,2.5,Meal Swipe
968,968,14.5,Credit
969,969,2.0,Credit
970,970,16.8,Debit
971,971,15.8,Meal Swipe
972,972,27.5,Cash
973,973,32.7,Meal Swipe
974,974,30.7,Credit
975,975,27.2,Debit
976,976,6.6,Debit
977,977,11.2,Gift Card
978,978,2.0,Cash
979,979,23.8,Credit
980,980,8.5,Meal Swipe
981,981,24.2,Credit
982,982,24.4,Debit
983,983,8.5,Meal Swipe
984,984,27.9,Cash
985,985,13.6,Gift Card
986,986,27.0,Gift Card
987,987,12.6,Cash
988,988,15.8,Meal Swipe
989,989,13.3,Debit
990,990,4.5,Debit
991,991,18.2,Meal Swipe
992,992,21.1,Credit
993,993,16.4,Cash
994,994,9.8,Meal Swipe
995,995,10.4,Credit
996,996,12.9,Debit
997,997,25.2,Gift Card
998,998,13.7,Debit
999,999,10.5,Debit
1000,1000,2.0,Gift Card
1001,1001,2.0,Meal Swipe
1002,1002,5.4,Debit
1003,1003,2.0,Credit
1004,1004,18.1,Gift Card
1005,1005,11.2,Credit
1006,1006,12.6,Debit
1007,1007,21.7,Debit
1008,1008,17.6,Debit
1009,1009,13.7,Gift Card
1010,1010,12.6,Meal Swipe
1011,1011,8.5,Meal Swipe
1012,1012,32.5,Debit
1013,1013,17.2,Gift Card
1014,1014,6.2,Gift Card
1015,1015,28.4,Credit
1016,1016,27.9,Cash
1017,1017,19.1,Debit
1018,1018,23.3,Cash
1019,1019,2.5,Meal Swipe
1020,1020,7.2,Meal Swipe
1021,1021,2.3,Cash
1022,1022,18.0,Cash
1023,1023,17.2,Credit
1024,1024,15.2,Meal Swipe
1025,1025,29.8,Meal Swipe
1026,1026,13.3,Meal Swipe
1027,1027,11.2,Cash
1028,1028,6.5,Credit
1029,1029,18.0,Gift Card
1030,1030,19.8,Debit
1031,1031,17.2,Meal Swipe
1032,1032,11.2,Credit
1033,1033,16.6,Gift Card
1034,1034,22.6,Debit
1035,1035,2.0,Meal Swipe
1036,1036,2.0,Gift Card
1037,1037,11.3,Credit
1038,1038,5.2,Debit
1039,1039,2.0,Cash
1040,1040,13.0,Credit
1041,1041,13.7,Cash
1042,1042,11.2,Credit
1043,1043,2.1,Cash
1044,1044,13.0,Debit
1045,1045,4.3,Debit
1046,1046,18.9,Meal Swipe
1047,1047,6.6,Cash
